1,the,a,22038615,0.98
,12,be,v,12545825,0.97
,13,and,c,10741073,0.99
,14,of,i,10343885,0.97
,15,a,a,10144200,0.98
,16,in,i,6996437,0.98
,17,to,t,6332195,0.98
,18,have,v,4303955,0.97
,19,to,i,3856916,0.99
,110,it,p,3872477,0.96
,111,I,p,3978265,0.93
,112,that,c,3430996,0.97
,113,for,i,3281454,0.98
,114,you,p,3081151,0.92
,115,he,p,2909254,0.94
,116,with,i,2683014,0.99
,117,on,i,2485306,0.99
,118,do,v,2573587,0.95
,119,say,v,1915138,0.95
,120,this,d,1885366,0.96
,121,they,p,1865580,0.96
,122,at,i,1767638,0.98
,123,but,c,1776767,0.97
,124,we,p,1820935,0.94
,125,his,a,1801708,0.95
,126,from,i,1635914,0.99
,127,that,d,1712406,0.94
,128,not,x,1638830,0.98
,129,n't,x,,0.97,129,n't,x,1619007,0.97,130,by,i,1490548,0.96
,131,she,p,1484869,0.91
,132,or,c,1379320,0.97
,133,as,c,1296879,0.98
,134,what,d,1181023,0.94
,135,go,v,1151045,0.93
,136,their,a,1083029,0.97,1
